accident_index,accident_severity,num_accident_in_ons,num_accident_in_same_road_type,num_accident_in_same_road,num_accident_in_same_second_road,num_casualties,num_vehicle_involved,weather_conditions,light_conditions,road_surface_conditions,carriageway_hazards,special_conditions_at_site,is_night,num_cars,num_heavy_vehicles,num_motorcycles,num_pedal_cycles,num_pedestrians,is_child_involved,is_old_involved
"""2019010177330""",3,64,764,567,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2019331901113""",3,44,247,2,7083,2,1,2,4,2,0,0,0,1,0,0,0,0,0,0
"""2017010049124""",3,84,247,18,3,1,2,2,4,2,0,0,1,1,0,1,0,0,0,0
"""201763A042817""",3,38,7489,1,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2017450246917""",3,36,7489,3055,7083,1,1,1,4,1,0,0,0,1,0,0,0,1,0,1
"""2017100207254""",3,32,7489,2,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2018460261456""",3,26,7489,10,7083,1,2,1,4,1,0,0,0,2,0,0,0,0,0,0
"""2019420903256""",3,27,7489,3,7083,1,2,2,4,2,0,0,0,2,0,0,0,0,0,0
"""2019471901698""",3,27,7489,3055,7083,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""2016320184638""",3,33,7489,1,1,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017200177954""",3,31,7489,1,1,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019010195558""",3,49,764,52,2,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0
"""2020470924555""",3,25,7489,3055,7083,1,2,1,1,2,0,0,0,1,0,1,0,0,0,0
"""201863D073318""",3,25,7489,15,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""201797UA00909""",3,12,7489,1,7083,2,2,9,1,1,0,0,0,2,0,0,0,0,0,0
"""2021010313890""",3,95,7489,25,7083,1,2,1,4,1,0,0,1,1,0,1,0,0,0,0
"""2020350996008""",3,26,7489,11,7083,1,2,1,1,-1,-1,-1,0,1,0,0,1,0,0,0
"""2020440256193""",3,27,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017950001873""",3,25,7489,6,7083,1,3,2,1,2,0,0,0,3,0,0,0,0,0,0
"""2021501083056""",3,14,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2016010018312""",3,35,764,1,3,2,2,1,4,1,0,0,1,2,0,0,0,0,1,0
"""2016300017755""",3,16,7489,1,583,1,2,2,6,2,0,0,0,2,0,0,0,0,0,0
"""2018010133586""",3,56,1285,47,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2019010181377""",3,109,247,567,1,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2017100231158""",3,32,764,2,1,1,1,1,5,1,0,0,0,1,0,0,0,0,0,0
"""2017010047886""",3,51,7489,12,7083,1,2,1,1,1,0,0,0,1,0,0,1,0,0,0
"""2021101072512""",3,40,7489,3,5,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0
"""201601LX50498""",3,109,7489,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0
"""201697LA07509""",3,9,7489,3055,7083,1,1,2,1,2,0,0,0,1,0,0,0,1,0,0
"""2020340N08352""",3,40,7489,567,7083,1,3,1,1,1,0,0,0,3,0,0,0,0,0,0
"""2019500809336""",3,40,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017010072705""",3,90,7489,11,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2019010199768""",3,63,764,3055,3,1,2,1,1,1,0,0,0,2,0,0,0,0,1,0
"""2019140855046""",3,113,7489,3,5,3,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016220062308""",3,7,7489,3055,7083,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2017030243243""",3,19,7489,63,7083,2,1,1,1,2,0,0,0,1,0,0,0,2,1,0
"""2020460950809""",3,14,7489,3055,7083,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2017440048252""",3,34,764,1,7083,1,2,1,1,2,0,0,0,1,0,0,1,0,0,0
"""2020010278318""",3,64,247,10,3,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2021010297090""",3,80,7489,3055,7083,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2016051602614""",3,92,1285,4,2,1,2,1,1,1,0,0,0,1,0,1,0,0,0,0
"""2018610056518""",3,18,7489,3055,7083,1,2,9,1,1,0,0,0,1,0,0,1,0,0,0
"""201806F248262""",3,36,1285,3,2,1,2,1,1,1,0,0,0,2,0,0,0,0,0,0
"""2018450801980""",3,16,764,1,7083,1,2,1,4,2,0,0,1,2,0,0,0,0,0,0
"""2021302100395""",3,19,7489,567,7083,1,2,9,4,1,0,0,1,1,1,0,0,0,0,0
